cbsa_cd,cbsa_abbr,cbsa_name
31180,LBK,"Lubbock, TX (MSA)"
29340,LCH,"Lake Charles, LA (MSA)"
29100,LCR,"La Crosse-Onalaska, WI-MN (MSA)"
30140,LEB,"Lebanon, PA (MSA)"
29700,LEO,"Laredo, TX (MSA)"
30300,LEW,"Lewiston, ID-WA (MSA)"
30460,LEX,"Lexington-Fayette, KY (MSA)"
29180,LFT,"Lafayette, LA (MSA)"
31020,LGK,"Longview, WA (MSA)"
30980,LGM,"Longview, TX (MSA)"
30620,LIM,"Lima, OH (MSA)"
30700,LIN,"Lincoln, NE (MSA)"
29420,LKH,"Lake Havasu City-Kingman, AZ (MSA)"
31080,LNA,"Los Angeles-Long Beach-Anaheim, CA (MSA)"
30860,LOG,"Logan, UT-ID (MSA)"
31140,LOI,"Louisville/Jefferson County, KY-IN (MSA)"
30780,LRS,"Little Rock-North Little Rock-Conway, AR (MSA)"
29740,LSC,"Las Cruces, NM (MSA)"
29820,LSV,"Las Vegas-Henderson-Paradise, NV (MSA)"
30340,LWA,"Lewiston-Auburn, ME (MSA)"
29460,LWH,"Lakeland-Winter Haven, FL (MSA)"
29200,LWL,"Lafayette-West Lafayette, IN (MSA)"
31340,LYN,"Lynchburg, VA (MSA)"
31420,MAC,"Macon, GA (MSA)"
31460,MAD,"Madera, CA (MSA)"
31900,MAN,"Mansfield, OH (MSA)"
32420,MAY,"Mayaguez, PR (MSA)"
32580,MCL,"McAllen-Edinburg-Mission, TX (MSA)"
33140,MCP,"Michigan City-La Porte, IN (MSA)"
31540,MDS,"Madison, WI (MSA)"
33260,MDT,"Midland, TX (MSA)"
32780,MED,"Medford, OR (MSA)"
37340,MEL,"Palm Bay-Melbourne-Titusville, FL (MSA)"
31740,MHT,"Manhattan, KS (MSA)"
33220,MID,"Midland, MI (MSA)"
33540,MIL,"Missoula, MT (MSA)"
33100,MIM,"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)"
31860,MKT,"Mankato-North Mankato, MN (MSA)"
31700,MNH,"Manchester-Nashua, NH (MSA)"
33780,MNM,"Monroe, MI (MSA)"
34740,MNS,"Muskegon, MI (MSA)"
33660,MOB,"Mobile, AL (MSA)"
33700,MOD,"Modesto, CA (MSA)"
33860,MON,"Montgomery, AL (MSA)"
32820,MPH,"Memphis, TN-MS-AR (MSA)"
32900,MRC,"Merced, CA (MSA)"
33740,MRE,"Monroe, LA (MSA)"
34100,MRT,"Morristown, TN (MSA)"
34060,MRW,"Morgantown, WV (MSA)"
33460,MSP,"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
