cbsa_code,cbsa_name,ct_code,ct_name,msa
48260,"Weirton-Steubenville, WV-OH",54009,"Brooke County, West Virginia",1
48260,"Weirton-Steubenville, WV-OH",54029,"Hancock County, West Virginia",1
48300,"Wenatchee-East Wenatchee, WA",53007,"Chelan County, Washington",1
48300,"Wenatchee-East Wenatchee, WA",53017,"Douglas County, Washington",1
48460,"West Plains, MO",29091,"Howell County, Missouri",0
48540,"Wheeling, WV-OH",39013,"Belmont County, Ohio",1
48540,"Wheeling, WV-OH",54051,"Marshall County, West Virginia",1
48540,"Wheeling, WV-OH",54069,"Ohio County, West Virginia",1
48580,"Whitewater-Elkhorn, WI",55127,"Walworth County, Wisconsin",0
48620,"Wichita, KS",20015,"Butler County, Kansas",1
48620,"Wichita, KS",20079,"Harvey County, Kansas",1
48620,"Wichita, KS",20173,"Sedgwick County, Kansas",1
48620,"Wichita, KS",20191,"Sumner County, Kansas",1
48660,"Wichita Falls, TX",48009,"Archer County, Texas",1
48660,"Wichita Falls, TX",48077,"Clay County, Texas",1
48660,"Wichita Falls, TX",48485,"Wichita County, Texas",1
48680,"Wildwood-The Villages, FL",12119,"Sumter County, Florida",1
48700,"Williamsport, PA",42081,"Lycoming County, Pennsylvania",1
48780,"Williston, ND",38105,"Williams County, North Dakota",0
48820,"Willmar, MN",27067,"Kandiyohi County, Minnesota",0
48900,"Wilmington, NC",37019,"Brunswick County, North Carolina",1
48900,"Wilmington, NC",37129,"New Hanover County, North Carolina",1
48900,"Wilmington, NC",37141,"Pender County, North Carolina",1
48940,"Wilmington, OH",39027,"Clinton County, Ohio",0
48980,"Wilson, NC",37195,"Wilson County, North Carolina",0
49010,"Winchester, TN",47051,"Franklin County, Tennessee",0
49020,"Winchester, VA-WV",51069,"Frederick County, Virginia",1
49020,"Winchester, VA-WV",51840,"Winchester city, Virginia",1
49020,"Winchester, VA-WV",54027,"Hampshire County, West Virginia",1
49080,"Winnemucca, NV",32013,"Humboldt County, Nevada",0
49100,"Winona, MN",27169,"Winona County, Minnesota",0
49180,"Winston-Salem, NC",37057,"Davidson County, North Carolina",1
49180,"Winston-Salem, NC",37059,"Davie County, North Carolina",1
49180,"Winston-Salem, NC",37067,"Forsyth County, North Carolina",1
49180,"Winston-Salem, NC",37169,"Stokes County, North Carolina",1
49180,"Winston-Salem, NC",37197,"Yadkin County, North Carolina",1
49220,"Wisconsin Rapids-Marshfield, WI",55141,"Wood County, Wisconsin",0
49260,"Woodward, OK",40153,"Woodward County, Oklahoma",0
49300,"Wooster, OH",39169,"Wayne County, Ohio",0
49340,"Worcester, MA",25027,"Worcester County, Massachusetts",1
49380,"Worthington, MN",27105,"Nobles County, Minnesota",0
49420,"Yakima, WA",53077,"Yakima County, Washington",1
49460,"Yankton, SD",46135,"Yankton County, South Dakota",0
49620,"York-Hanover, PA",42133,"York County, Pennsylvania",1
49660,"Youngstown-Warren, OH",39099,"Mahoning County, Ohio",1
49660,"Youngstown-Warren, OH",39155,"Trumbull County, Ohio",1
49700,"Yuba City, CA",6101,"Sutter County, California",1
49700,"Yuba City, CA",6115,"Yuba County, California",1
49740,"Yuma, AZ",4027,"Yuma County, Arizona",1
49780,"Zanesville, OH",39119,"Muskingum County, Ohio",0
49820,"Zapata, TX",48505,"Zapata County, Texas",0
